,model,R-Squared
0,GradientBoost,0.8508402825455195
1,Catboost,0.8494167104802999
2,SVR,0.8237372906997681
3,RandomForest,0.8175019944159495
4,XGBoost,0.8169482810613784
5,ExtraTrees,0.8040011434804976
6,Ridge,0.7632797593260394
7,LinearRegression,0.7631274384692075
8,Lasso,0.7617157254390039
9,KNN,0.7603494414796129
10,StackingRegressor,0.7595769670312009
11,AdaBoost,0.7408188974733563
12,LightGBM,0.6969772496535529
