,model,Root Mean Squared Error
0,GradientBoost,5.5856555178943355
1,SVR,5.615333628297943
2,RandomForest,5.7243873800726535
3,Catboost,5.761110788631304
4,XGBoost,6.0893707255798555
5,StackingRegressor,6.173626880483814
6,LightGBM,6.2522214471793065
7,ExtraTrees,6.273105989245241
8,KNN,7.723599824306782
9,Lasso,8.382070292618085
10,Ridge,8.382231343350943
11,LinearRegression,8.382587030981485
12,AdaBoost,8.484750535993424
