,model,Root Mean Squared Error
0,GradientBoost,5.523643537509098
1,Catboost,5.549939618100813
2,SVR,6.004544789746566
3,RandomForest,6.109827225695273
4,XGBoost,6.119089054779367
5,ExtraTrees,6.331791957333644
6,Ridge,6.95853097704794
7,LinearRegression,6.960769397695956
8,Lasso,6.98148098013436
9,KNN,7.001467719144481
10,StackingRegressor,7.012742684744354
11,AdaBoost,7.281176094522878
12,LightGBM,7.872949865872964
