,model,Root Mean Squared Error
0,GradientBoost,4.380387628784894
1,Catboost,4.561446157669968
2,Lasso,4.861768261600209
3,Ridge,4.862650138069446
4,LinearRegression,4.879890254932594
5,ExtraTrees,5.014070157644234
6,XGBoost,5.021234195530439
7,KNN,5.170923018292877
8,SVR,5.214014461410775
9,RandomForest,5.363066536037819
10,AdaBoost,5.5943634332598515
11,LightGBM,6.074424587209594
12,StackingRegressor,6.090732402346788
