,model,Root Mean Squared Error
0,GradientBoost,4.863149885382413
1,Catboost,4.999192968303544
2,ExtraTrees,5.212897967264287
3,KNN,5.843135189789284
4,AdaBoost,5.897569761243322
5,SVR,6.5073936206607
6,StackingRegressor,6.6350997965948935
7,RandomForest,6.732618634162855
8,XGBoost,6.902112735945177
9,LinearRegression,7.1612830725851735
10,Lasso,7.174336137638242
11,Ridge,7.182948302652679
12,LightGBM,7.530888787880599
