,model,R-Squared
0,GradientBoost,0.896217586456566
1,SVR,0.8951118080811735
2,RandomForest,0.890998242258001
3,Catboost,0.8895952079482735
4,XGBoost,0.8766553547585226
5,StackingRegressor,0.8732184005220232
6,LightGBM,0.8699698169608467
7,ExtraTrees,0.8690996761962501
8,KNN,0.8015664974774463
9,Lasso,0.7662895846686184
10,Ridge,0.7662806036904241
11,LinearRegression,0.7662607681934895
12,AdaBoost,0.7605286149681882
